method,env_id,category,support_group,episodes,average_reward,success_rate,invalid_move_rate,repeated_action_rate,average_turns,breakdown,slice,value,envs,task_success_rate,invalid_browser_action_rate,avg_turns,invalid_action_rate,games
textgrad_policy_iteration,Battleship-v0,board_game,generic_fallback,6,0.0,0.5,0.5,1.0,4.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Blackjack-v0,stochastic_decision,supported_policy_family,3,0.26666666666666666,0.0,0.0,1.0,5.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Blackjack-v0-long,stochastic_decision,supported_policy_family,3,0.26666666666666666,0.0,0.0,1.0,15.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Breakthrough-v0-tiny,board_game,generic_fallback,6,0.0,0.5,0.5,0.0,3.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Checkers-v0,board_game,generic_fallback,6,0.0,0.5,0.5,0.0,2.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Chopsticks-v0,board_game,generic_fallback,6,0.0,0.5,0.5,1.0,2.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,ConnectFour-v0,board_game,supported_policy_family,6,0.0,0.5,0.0,1.0,19.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,ConnectFour-v0-blind,board_game,supported_policy_family,6,0.0,0.5,0.5,1.0,8.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Countdown-v0,puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,4.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Crosswords-v0,language_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Cryptarithm-v0,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,1.0,2.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,FrozenLake-v0,planning,supported_policy_family,3,1.0,1.0,0.0,1.0,6.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,FrozenLake-v0-hardcore,planning,supported_policy_family,3,1.0,1.0,0.0,1.0,8.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,FrozenLake-v0-random,planning,supported_policy_family,3,1.0,1.0,0.0,1.0,6.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,GameOfPureStrategy-v0,social_game,generic_fallback,6,0.0,0.5,0.5,1.0,16.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,GermanWhist-v0,card_game,generic_fallback,6,0.0,0.5,0.5,1.0,2.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,GuessTheNumber-v0,deduction,supported_policy_family,3,1.0,1.0,0.0,0.0,4.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,GuessTheNumber-v0-hardcore,deduction,supported_policy_family,3,1.0,1.0,0.0,0.0,3.3333333333333335,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Hangman-v0,language_puzzle,generic_fallback,3,0.5634920634920635,0.0,0.3333333333333333,0.3333333333333333,9.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Hangman-v0-hardcore,language_puzzle,generic_fallback,3,0.7450142450142451,0.0,1.0,1.0,12.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,IteratedPrisonersDilemma-v0,social_game,generic_fallback,6,0.0,0.0,0.0,1.0,40.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,IteratedRockPaperScissors-v0,social_game,generic_fallback,6,0.0,0.0,0.0,1.0,18.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,KuhnPoker-v0-short,card_game,generic_fallback,6,0.0,0.5,0.5,1.0,5.666666666666667,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,LightsOut-v0,puzzle,supported_policy_family,3,1.0,1.0,0.0,0.0,8.333333333333334,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,LogicPuzzle-v0,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,LogicPuzzle-v0-hard,symbolic_puzzle,generic_fallback,3,0.0,0.0,1.0,0.0,2.0,TextArena Broad 50 per-env,,,,,,,,
textgrad_policy_iteration,Mastermind-v0,deduction,supported_policy_family,3,1.0,1.0,0.0,0.0,4.666666666666667,TextArena Broad 50 per-env,,,,,,,,
